Time Step,Coeffs
0,-0.15
1,-0.3
2,-0.14
3,-0.41
4,-0.46
5,-0.66
6,-0.5
7,-0.8
8,-0.95
9,-0.72
10,-0.31
11,-0.71
12,-1.04
13,-0.77
14,-0.86
15,-0.84
16,-0.41
17,-0.49
18,-0.48
19,-0.72
20,-1.21
21,-0.8
22,0.16
23,0.46
24,0.4
25,1.0
26,2.17
27,2.5
28,2.34
29,0.8
30,0.14
31,-0.06
32,-0.34
33,-0.71
34,-0.34
35,-0.73
36,-0.48
37,-0.11
38,0.22
39,0.51
40,0.51
41,0.25
42,-0.1
43,-0.33
44,-0.42
45,-0.23
46,-0.53
47,-0.44
48,-0.3
49,0.15
50,0.09
51,0.19
52,-0.06
53,0.25
54,0.3
55,0.81
56,0.26
57,0.1
58,0.34
59,1.01
60,-0.31
61,-0.9
62,-0.73
63,-0.92
64,-0.73
65,-0.31
66,-0.03
67,0.12
68,0.37
69,0.82
70,1.22
71,1.83
72,1.6
73,0.34
74,-0.72
75,-0.87
76,-0.85
77,-0.4
78,-0.39
79,-0.65
80,0.07
81,0.67
82,0.39
83,0.03
84,-0.17
85,-0.76
86,-0.87
87,-1.36
88,-1.1
89,-0.99
90,-0.78
91,-0.93
92,-0.87
93,-0.44
94,-0.34
95,-0.5
96,-0.39
97,-0.04
98,0.42
99,0.62
100,0.17
101,0.23
102,1.03
103,1.54
104,1.09
105,0.01
106,0.12
107,-0.27
108,-0.47
109,-0.41
110,-0.37
111,-0.36
112,-0.39
113,0.43
114,1.05
115,1.58
116,1.25
117,0.86
118,0.6
119,0.21
120,0.19
121,-0.23
122,-0.29
123,0.18
124,0.12
125,0.71
126,1.42
127,1.59
128,0.93
129,-0.25
130,-0.66
131,-0.95
132,-0.47
133,0.06
134,0.7
135,0.81
136,0.78
137,1.43
138,1.22
139,1.05
140,0.44
141,-0.35
142,-0.67
143,-0.84
144,-0.66
145,-0.45
146,-0.12
147,-0.2
148,-0.16
149,-0.47
150,-0.52
151,-0.79
152,-0.8
153,-0.62
154,-0.86
155,-1.29
156,-1.04
157,-1.05
158,-0.75
159,-0.81
160,-0.9
161,-0.25
162,0.62
163,1.22
164,0.96
165,0.21
166,-0.11
167,-0.25
168,-0.24
169,-0.43
170,0.23
171,0.67
172,0.78
173,0.41
174,0.98
175,1.28
176,1.45
177,1.02
178,0.03
179,-0.59
180,-1.34
181,-0.99
182,-1.49
183,-1.74
184,-1.33
185,-0.55
186,-0.51
187,-0.36
188,-0.99
189,0.32
190,1.04
191,1.41
192,0.99
193,0.66
194,0.5
195,0.22
196,0.71
197,-0.16
198,0.38
199,0.0
200,-1.11
201,-1.04
202,0.05
203,-0.64
204,-0.34
205,-0.5
206,-1.85
207,-0.94
208,-0.78
209,0.29
210,0.27
211,0.69
212,-0.06
213,-0.83
214,-0.8
215,-1.02
216,-0.96
217,-0.09
218,0.62
219,0.87
220,1.03
221,0.7
222,-0.1
223,-0.31
224,0.04
225,-0.46
226,0.04
227,0.24
228,-0.08
229,-0.28
230,0.06
231,0.05
232,-0.31
233,0.11
234,0.27
235,0.26
236,0.04
237,0.12
238,1.11
239,1.53
240,1.23
241,0.17
242,-0.18
243,-0.56
244,0.05
245,0.41
246,0.22
247,0.04
248,-0.19
249,-0.46
250,-0.65
251,-1.06
252,-0.54
253,0.14
254,0.25
255,-0.21
256,-0.73
257,-0.43
258,0.48
259,0.26
260,0.05
261,0.11
262,-0.27
263,-0.08
264,-0.1
265,0.29
266,-0.15
267,-0.28
268,-0.55
269,-0.44
270,-1.4
271,-0.55
272,-0.69
273,0.58
274,0.37
275,0.42
276,1.83
277,1.23
278,0.65
279,0.41
280,1.03
281,0.64
282,-0.07
283,0.98
284,0.36
285,-0.3
286,-1.33
287,-1.39
288,-0.94
289,0.34
290,-0.0
291,-0.15
292,0.06
293,0.39
294,0.36
295,-0.49
296,-0.53
297,0.35
298,0.07
299,-0.24
300,0.2
301,-0.22
302,-0.68
303,-0.44
304,0.02
305,-0.22
306,-0.3
307,-0.59
308,0.1
309,-0.02
310,-0.27
311,-0.6
312,-0.48
313,-0.37
314,-0.53
315,-1.35
316,-1.22
317,-0.99
318,-0.34
319,-0.79
320,-0.24
321,0.02
322,0.69
323,0.78
324,0.17
325,-0.17
326,-0.29
327,-0.27
328,0.31
329,0.44
330,0.38
331,0.24
332,-0.13
333,-0.89
334,-0.76
335,-0.71
336,-0.37
337,-0.59
338,-0.63
339,-1.47
340,-0.4
341,-0.18
342,-0.37
343,-0.43
344,-0.06
345,0.61
346,1.33
347,1.19
348,1.13
349,0.31
350,0.14
351,0.03
352,0.21
353,0.15
354,-0.22
355,-0.02
356,0.03
357,-0.17
358,0.12
359,-0.35
360,-0.06
361,0.38
362,-0.45
363,-0.32
364,-0.33
365,-0.49
366,-0.14
367,-0.56
368,-0.18
369,0.46
370,1.09
371,1.04
372,0.23
373,-0.99
374,-0.59
375,-0.92
376,-0.28
377,0.52
378,1.31
379,1.45
380,0.61
381,-0.11
382,-0.18
383,-0.39
384,-0.39
385,-0.36
386,-0.5
387,-0.81
388,-1.1
389,-0.29
390,0.57
391,0.68
392,0.78
393,0.78
394,0.63
395,0.98
396,0.49
397,-0.42
398,-1.34
399,-1.2
400,-1.18
401,-0.65
402,-0.42
403,-0.97
404,-0.28
405,0.77
406,1.77
407,2.22
408,1.05
409,-0.67
410,-0.99
411,-1.52
412,-1.17
413,-0.22
414,-0.04
415,-0.45
416,-0.46
417,-0.75
418,-0.7
419,-1.38
420,-1.15
421,-0.01
422,0.97
423,1.1
424,0.68
425,-0.02
426,-0.04
427,0.47
428,0.3
429,-0.55
430,-0.51
431,-0.09
432,-0.01
433,0.34
434,0.61
435,0.58
436,0.33
437,0.38
438,0.1
439,0.18
440,-0.3
441,-0.06
442,-0.28
443,0.12
444,0.58
445,0.89
446,0.93
447,2.39
448,2.44
449,1.92
450,0.64
451,-0.24
452,0.27
453,-0.13
454,-0.16
455,-0.54
456,-0.13
457,-0.37
458,-0.78
459,-0.22
460,0.03
461,0.25
462,0.31
463,1.03
464,1.1
465,1.05
466,1.11
467,1.28
468,0.57
469,-0.55
470,-1.16
471,-0.99
472,-0.38
473,0.01
474,-0.29
475,0.09
476,0.46
477,0.57
478,0.24
479,0.39
480,0.49
481,0.86
482,0.51
483,0.95
484,1.25
485,1.33
486,-0.0
487,0.34
488,0.66
489,1.11
490,0.34
491,0.48
492,0.56
493,0.39
494,-0.17
495,1.04
496,0.77
497,0.12
498,-0.35
499,-0.22
500,0.08
501,-0.08
502,-0.18
503,-0.06
